"filename", "language", "C++", "HTML", "Dart", "YAML", "Markdown", "JSON", "Swift", "Properties", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\KOFFA\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Administrator\Desktop\KOFFA\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Administrator\Desktop\KOFFA\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Administrator\Desktop\KOFFA\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 405, 80, 1756, 44, 7, 180, 12, 8, 88, 123, 267, 391, 3361
